Name,Ticker,Price,Change,% Change
General Electric Co,GE:US,17.88,-0.41,-2.24%
DowDuPont Inc,DWDP:US,71.01,-0.95,-1.32%
Exxon Mobil Corp,XOM:US,83.46,+0.17,+0.20%
Visa Inc,V:US,110.73,-1.86,-1.65%
Microsoft Corp,MSFT:US,84.26,+0.09,+0.11%
American Express Co,AXP:US,97.86,+0.15,+0.15%
Wal-Mart Stores Inc,WMT:US,97.35,+0.12,+0.12%
Johnson & Johnson,JNJ:US,139.98,+0.65,+0.47%
Walt Disney Co/The,DIS:US,105.25,+0.43,+0.41%
Coca-Cola Co/The,KO:US,45.97,+0.20,+0.44%
United Technologies Corp,UTX:US,120.12,-1.33,-1.10%
Verizon Communications Inc,VZ:US,51.25,+0.36,+0.71%
JPMorgan Chase & Co,JPM:US,104.79,+0.27,+0.26%
UnitedHealth Group Inc,UNH:US,226.78,-1.39,-0.61%
Travelers Cos Inc/The,TRV:US,136.21,+0.64,+0.47%
Pfizer Inc,PFE:US,36.35,+0.09,+0.25%
Merck & Co Inc,MRK:US,55.87,+0.60,+1.09%
Goldman Sachs Group Inc/The,GS:US,248.95,+1.31,+0.53%
Chevron Corp,CVX:US,119.51,+0.52,+0.44%
NIKE Inc,NKE:US,59.88,-0.54,-0.89%
Home Depot Inc/The,HD:US,180.42,+0.60,+0.33%
Procter & Gamble Co/The,PG:US,90.36,+0.37,+0.41%
3M Co,MMM:US,241.15,-1.99,-0.82%
McDonald's Corp,MCD:US,172.87,+0.90,+0.52%
Intel Corp,INTC:US,44.68,-0.16,-0.36%
International Business Machines Corp,IBM:US,154.76,+0.79,+0.51%
Caterpillar Inc,CAT:US,141.52,+0.37,+0.26%
Apple Inc,AAPL:US,171.05,-0.80,-0.47%
Boeing Co/The,BA:US,271.38,-5.42,-1.96%
Cisco Systems Inc,CSCO:US,37.60,+0.30,+0.80%
